x,y,RSSI A,RSSI B,RSSI C
0.5,0.5,51,55,64
0.5,1,63,63,60
0.5,1.5,55,55,56
0.5,2,61,64,55
0.5,2.5,56,58,59
0.5,3,59,55,68
0.5,3.5,61,44,57
1,0.5,58,57,62
1,1,60,59,57
1,1.5,72,53,72
1,2,55,65,62
1,2.5,60,49,57
1,3,66,53,51
1,3.5,62,48,59
1.5,0.5,61,61,58
1.5,1,63,67,51
1.5,1.5,56,51,50
1.5,2,52,60,61
1.5,2.5,54,58,59
1.5,3,62,49,63
1.5,3.5,67,48,57
2,0.5,70,64,56
2,1,63,71,48
2,1.5,72,57,52
2,2,63,51,57
2,2.5,58,62,56
2,3,47,57,60
2,3.5,63,47,58
2.5,0.5,65,60,42
2.5,1,61,60,43
2.5,1.5,80,58,44
2.5,2,63,59,50
2.5,2.5,62,64,51
2.5,3,67,60,65
2.5,3.5,55,55,61
3,0.5,40,58,57
3,1,67,76,45
3,1.5,62,56,51
3,2,73,78,55
3,2.5,66,60,63
3,3,69,63,54
3,3.5,68,51,56
3.5,0.5,58,58,35
3.5,1,69,52,42
3.5,1.5,63,65,40
3.5,2,63,58,46
3.5,2.5,63,59,52
3.5,3,61,61,58
3.5,3.5,70,59,50
